theta_a,theta_d,x,y
51,125,26.46490639,-40.63104958
51,126,28.11795068,-38.50384793
51,127,29.8139066,-36.29583308
51,128,31.56178148,-33.99883686
51,129,33.37302546,-31.60288702
51,130,35.26245234,-29.09558838
51,131,37.24964973,-26.46119647
51,132,39.36123565,-23.67916895
51,133,41.63467261,-20.72177402
51,134,44.12518227,-17.54985668
51,135,46.91951126,-14.10461283
51,136,50.167207,-10.28936087
51,137,54.16778282,-5.920042331
51,138,59.72520698,-0.529521555
51,218,64.28223697,105.5080835
51,219,56.79143009,101.0935581
51,220,52.14425745,98.38419546
51,221,48.55527346,96.37701506
51,222,45.54769438,94.7866278
51,223,42.91131399,93.4800248
51,224,40.53228819,92.38129574
51,225,38.34126547,91.44180278
51,226,36.29261972,90.62793163
51,227,34.35465691,89.9151712
51,228,32.50445357,89.28491735
51,229,30.72490659,88.72260236
51,230,29.0029389,88.21653051
51,231,27.32835329,87.75711713
51,232,25.69307044,87.33637114
51,233,24.09060526,86.94753149
51,234,22.51569697,86.58480456
51,235,20.96404139,86.24316995
51,236,19.43209319,85.91823386
51,237,17.91691725,85.60611641
51,238,16.41607508,85.3033637
51,239,14.92753683,85.00687807
51,240,13.44961237,84.71386222
51,241,11.98089659,84.42177382
51,242,10.52022565,84.12828824
52,68,-33.14471437,-123.9913988
52,69,-37.34406918,-118.3978112
52,70,-38.65983232,-115.3862774
52,71,-39.16445843,-113.1240569
52,72,-39.24094558,-111.2609297
52,73,-39.04418116,-109.6514684
52,74,-38.65476344,-108.2181411
52,75,-38.12080162,-106.9136092
52,76,-37.47365804,-105.7063503
52,77,-36.73508607,-104.5740612
52,78,-35.92088951,-103.5002344
52,79,-35.04297203,-102.4722195
52,80,-34.11056403,-101.4800486
52,81,-33.13099681,-100.5156863
52,82,-32.11021206,-99.57253068
52,83,-31.05310923,-98.64506877
52,84,-29.96378927,-97.72863213
52,85,-28.84573003,-96.81921845
52,86,-27.7019152,-95.91335888
52,87,-26.53493079,-95.0080172
52,88,-25.34703863,-94.10051201
52,89,-24.14023299,-93.18845569
52,90,-22.91628487,-92.26970577
52,91,-21.67677686,-91.3423258
52,92,-20.423131,-90.4045534
52,93,-19.15663105,-89.4547739
52,94,-17.87844051,-88.49149824
52,95,-16.58961713,-87.51334443
52,96,-15.29112483,-86.51902161
52,97,-13.98384318,-85.50731628
52,98,-12.66857525,-84.47708033
52,99,-11.34605374,-83.42722033
52,100,-10.01694589,-82.35668794
52,101,-8.681857288,-81.2644712
52,102,-7.341334558,-80.1495864
52,103,-5.995867272,-79.01107047
